offer_id,skill_name,skill_level,skill_level_name
0,NLP,4,Advanced
0,LLMs,4,Advanced
0,Python,4,Advanced
0,AI,3,Regular
1,English,Nan,B2
1,Big Data,2,Junior
1,Deep Learning,2,Junior
1,Machine Learning,2,Junior
1,GCP,1,Nice To Have
1,Azure,1,Nice To Have
2,Python,5,Master
2,Microsoft Azure,4,Advanced
2,AI,4,Advanced
2,SQL,4,Advanced
2,DevOps tools,3,Regular
3,English,Nan,C1
3,TypeScript,4,Advanced
3,Rust,4,Advanced
3,Software Architecture,4,Advanced
3,Python,4,Advanced
3,AI,3,Regular
4,Polish,Nan,C1
4,English,Nan,C1
4,AI,4,Advanced
4,Scrum,4,Advanced
4,Azure,4,Advanced
4,GCP,4,Advanced
4,Agile,4,Advanced
4,UX/UI,4,Advanced
5,Python,4,Advanced
5,Computer Vision,3,Regular
5,GenAI,3,Regular
5,Azure,2,Junior
5,GCP,2,Junior
6,Computer science,4,Advanced
6,Machine Learning,4,Advanced
6,Python,4,Advanced
7,Python,4,Advanced
7,Docker,3,Regular
7,Azure,3,Regular
7,GenerativeAI,3,Regular
8,Python,5,Master
8,Django,2,Junior
8,Django Rest Framework,2,Junior
8,AWS,1,Nice To Have
8,Docker,1,Nice To Have
8,MS SQL,1,Nice To Have
8,Kubernetes,1,Nice To Have
8,NoSQL,1,Nice To Have
9,SQL,4,Advanced
9,Python,4,Advanced
9,AI,3,Regular
9,Data Science,3,Regular
9,Big Data,3,Regular
10,CI/CD,4,Advanced
10,Angular,4,Advanced
10,Aurelia,4,Advanced
10,React,4,Advanced
10,JavaScript,4,Advanced
10,TypeScript,4,Advanced
10,AI,1,Nice To Have
11,Docker,4,Advanced
11,TensorFlow,4,Advanced
11,Python,4,Advanced
11,Generative AI,4,Advanced
11,Azure,3,Regular
11,OpenAI,3,Regular
12,Machine Learning,4,Advanced
12,Python,4,Advanced
12,E2E,4,Advanced
12,MLflow,4,Advanced
13,AI,3,Regular
13,Python,3,Regular
14,English,Nan,B2
14,Compliance,4,Advanced
14,AI,4,Advanced
14,privacy,4,Advanced
15,Computer Vision,4,Advanced
15,PyTorch,4,Advanced
15,OpenCV,4,Advanced
15,Python,4,Advanced
15,AWS,3,Regular
15,Agile,3,Regular
15,vSLAM,1,Nice To Have
16,Polish,Nan,B2
16,English,Nan,C1
16,AlphaFold,4,Advanced
16,molecular dynamics simulations,4,Advanced
16,computational analysis,4,Advanced
16,high-throughput screening,4,Advanced
16,Python,2,Junior
16,R,2,Junior
16,SLURM,1,Nice To Have
16,HPC,1,Nice To Have
16,AWS,1,Nice To Have
17,English,Nan,B2
17,SQL,4,Advanced
17,Python,4,Advanced
17,NLP,3,Regular
17,Computer Vision,3,Regular
17,PyTorch,3,Regular
17,TensorFlow,3,Regular
17,Keras,3,Regular
17,Deep Learning,3,Regular
17,MLOps,3,Regular
18,Computer Vision,4,Advanced
18,PyTorch,4,Advanced
18,OpenCV,4,Advanced
18,Python,4,Advanced
18,AWS,3,Regular
18,Agile,3,Regular
18,vSLAM,1,Nice To Have
19,English,Nan,B2
19,Polish,Nan,B2
19,AI,5,Master
19,ML,5,Master
19,rag,5,Master
19,MML,5,Master
19,GenAI,4,Advanced
20,Azure,4,Advanced
20,Python,4,Advanced
20,GenAI,3,Regular
20,NLP,3,Regular
20,Azure AI foundry,3,Regular
21,Polish,Nan,B2
21,English,Nan,C1
21,Product Management,4,Advanced
22,English,Nan,B2
22,React,4,Advanced
22,Next.js,4,Advanced
22,TypeScript,4,Advanced
22,AI/LLMs,4,Advanced
22,Node.js,4,Advanced
23,Polish,Nan,B2
23,English,Nan,C1
23,Scrum Master,4,Advanced
23,AI,2,Junior
24,Python,4,Advanced
24,rag,3,Regular
24,Prompt Engineering,3,Regular
24,Langchain,3,Regular
24,Langgraph,3,Regular
24,Pandas,3,Regular
24,Azure,3,Regular
25,Git,3,Regular
25,Bash,3,Regular
25,PyTorch,3,Regular
25,AI,3,Regular
25,Docker,3,Regular
25,Python,3,Regular
26,English,Nan,C1
26,Machine Learning,4,Advanced
26,AWS,4,Advanced
26,TypeScript,4,Advanced
26,AI,4,Advanced
26,Azure,4,Advanced
26,Snowflake,4,Advanced
26,JavaScript,4,Advanced
26,Python,4,Advanced
26,Docker,3,Regular
26,Kubernetes,3,Regular
27,English,Nan,B2
27,GenAI,4,Advanced
27,OpenAI,4,Advanced
27,Langchain,4,Advanced
27,API Testing,4,Advanced
27,Python,3,Regular
28,Cybersecurity,1,Nice To Have
29,Langchain,3,Regular
29,Langgraph,3,Regular
29,LangFuse,3,Regular
29,REST API,3,Regular
29,Prompt Engineering,3,Regular
29,Docker,2,Junior
29,Kubernetes,2,Junior
30,English,Nan,B2
30,Generative AI,4,Advanced
30,LLM,4,Advanced
30,Scrum,1,Nice To Have
30,Cloud,1,Nice To Have
31,AI,3,Regular
31,REST API,3,Regular
31,SQL,3,Regular
31,Docker,3,Regular
32,AI,3,Regular
32,Compiler,3,Regular
33,English,4,Advanced
33,TypeScript,3,Regular
33,HTML5 / CSS3,3,Regular
33,Node.js,3,Regular
33,AI,3,Regular
33,Docker,3,Regular
33,JavaScript,3,Regular
34,Git,3,Regular
34,CI/CD,3,Regular
34,Deep Learning,3,Regular
34,PyTorch,3,Regular
34,transformers,3,Regular
34,Large Language Models,3,Regular
34,Python,3,Regular
35,English,Nan,B2
35,Python,4,Advanced
35,CI/CD,3,Regular
35,PyTorch,3,Regular
35,AI,3,Regular
35,Spark,3,Regular
35,Databases,3,Regular
35,TensorFlow,3,Regular
35,Airflow,1,Nice To Have
36,Python,4,Advanced
36,Machine Learning,4,Advanced
36,Databricks,4,Advanced
36,Linux,4,Advanced
36,Git,4,Advanced
36,Docker,4,Advanced
36,Podman,4,Advanced
36,Azure DevOps,4,Advanced
36,PostgreSQL,4,Advanced
36,Airflow,4,Advanced
37,Amazon AWS,3,Regular
37,AWS Bedrock,3,Regular
37,OpenSearch,3,Regular
37,AWS Textract,3,Regular
37,RDS PostgreSQL,3,Regular
37,EC2,3,Regular
37,s3,3,Regular
37,Python,1,Nice To Have
38,Machine Learning,1,Nice To Have
38,DevOps,1,Nice To Have
38,Cloud,1,Nice To Have
38,CI/CD,1,Nice To Have
38,Angular,1,Nice To Have
38,AI,1,Nice To Have
38,Java,1,Nice To Have
38,JavaScript,1,Nice To Have
38,Python,1,Nice To Have
39,Python,5,Master
39,Machine Learning,4,Advanced
39,SQL,3,Regular
39,Data Science,3,Regular
40,Machine Learning,4,Advanced
40,LLM,4,Advanced
40,Cloud,4,Advanced
40,AI,4,Advanced
40,Python,4,Advanced
40,Data Science,4,Advanced
40,Computer Vision,3,Regular
41,React,4,Advanced
41,English,4,Advanced
41,.Net,4,Advanced
41,Python,4,Advanced
41,Node.js,4,Advanced
42,AI,3,Regular
43,C++,4,Advanced
43,C,4,Advanced
44,English,Nan,C1
44,CI/CD,4,Advanced
44,Vertex AI,4,Advanced
44,Docker,4,Advanced
44,GCP,4,Advanced
44,Python,4,Advanced
44,BigQuery,4,Advanced
44,Kubernetes,3,Regular
45,Polish,Nan,C1
45,English,Nan,C1
45,Python,4,Advanced
45,React.JS,4,Advanced
45,GenAI models,4,Advanced
45,LLMs,4,Advanced
45,API,3,Regular
45,Docker,3,Regular
45,Kubernetes,3,Regular
45,CI/CD,3,Regular
45,Cloud Platforms,2,Junior
46,AI/ML,4,Advanced
46,AI,3,Regular
46,Docker,3,Regular
46,Software Development,1,Nice To Have
47,English,Nan,C1
47,Cloud,5,Master
47,Databricks,5,Master
47,Python,5,Master
47,PySpark,3,Regular
47,Spark,3,Regular
48,SQL,4,Advanced
48,Python,4,Advanced
48,Git,3,Regular
48,scikit-learn,3,Regular
49,Python,5,Master
49,Machine Learning,5,Master
49,TensorFlow,5,Master
49,PyTorch,5,Master
50,English,Nan,B2
50,Python,4,Advanced
50,GenAI,3,Regular
50,Machine Learning,3,Regular
50,Spark,3,Regular
50,Azure,3,Regular
50,Databricks,3,Regular
51,Polish,Nan,C2
51,English,Nan,C1
51,Apache Hadoop,4,Advanced
51,Python,4,Advanced
51,Big Data,4,Advanced
51,Apache Spark,4,Advanced
51,Git,3,Regular
51,SQL,3,Regular
51,Hive,1,Nice To Have
51,Bitbucket,1,Nice To Have
52,Polish,Nan,C2
52,English,Nan,B2
52,ML/AI,4,Advanced
52,NumPy,3,Regular
52,Pandas,3,Regular
52,Python,3,Regular
52,NLP,1,Nice To Have
52,Computer Vision,1,Nice To Have
53,Kedro,4,Advanced
53,Python 3,4,Advanced
53,CI/CD pipelines,4,Advanced
53,Spark,4,Advanced
53,Airflow,1,Nice To Have
53,Django,1,Nice To Have
53,Docker,1,Nice To Have
53,Kubernetes,1,Nice To Have
53,Databricks,1,Nice To Have
54,PyTorch,4,Advanced
54,AI,4,Advanced
54,TensorFlow,4,Advanced
54,OpenCV,4,Advanced
55,AI,4,Advanced
56,GenAI,3,Regular
56,Large Language Models,3,Regular
56,video,3,Regular
56,AUDIO,3,Regular
56,image,3,Regular
56,Product Management,3,Regular
57,English,Nan,B2
57,TypeScript,3,Regular
57,WebSocket,3,Regular
57,Video and audio streaming,3,Regular
57,React,3,Regular
57,Vite,3,Regular
58,LLM,3,Regular
58,Promt Engineering,3,Regular
58,Python,3,Regular
58,REST API,3,Regular
58,Azure,3,Regular
59,Polish,Nan,C1
59,Machine Learning,4,Advanced
59,Python,4,Advanced
59,Data Science,4,Advanced
59,Azure,1,Nice To Have
59,Apache Spark,1,Nice To Have
60,GenAI,3,Regular
60,Cloud,3,Regular
60,Java,3,Regular
60,Python,3,Regular
60,MLOps,3,Regular
61,Architecture,4,Advanced
61,Software Development,4,Advanced
61,Leadership,4,Advanced
61,Vertex AI,4,Advanced
61,AI,4,Advanced
61,Data,3,Regular
62,English,4,Advanced
62,AI,4,Advanced
62,Python,3,Regular
62,fastapi,3,Regular
62,Langchain,3,Regular
62,Langgraph,3,Regular
62,CrewAI,3,Regular
62,Azure,3,Regular
62,Pandas,3,Regular
62,.Net,3,Regular
63,Kotlin,4,Advanced
63,Data,4,Advanced
63,Java,4,Advanced
63,Machine Learning,4,Advanced
64,English,Nan,B2
64,AI,4,Advanced
64,Python,4,Advanced
64,PyTorch,4,Advanced
64,TensorFlow,4,Advanced
64,React,1,Nice To Have
64,Vue,1,Nice To Have
65,Machine Learning,4,Advanced
65,Python,3,Regular
65,Databases,3,Regular
65,Data Warehousing,3,Regular
65,Big Data,3,Regular
65,Cloud,3,Regular
65,R,1,Nice To Have
66,Python,4,Advanced
66,Apache Hadoop,3,Regular
66,SQL,3,Regular
66,Apache Spark,3,Regular
66,Machine Learning,3,Regular
67,AI,4,Advanced
67,Scrum,3,Regular
67,Automatyzacja,3,Regular
67,Kanban,3,Regular
67,Modelowanie procesów,3,Regular
67,Agile,3,Regular
68,Airflow,4,Advanced
68,Python,4,Advanced
68,CI/CD,3,Regular
68,Spark,3,Regular
68,Azure,3,Regular
68,Azure ML,2,Junior
68,Docker,2,Junior
68,ML,2,Junior
68,Terraform,2,Junior
68,Kubernetes,2,Junior
69,English,Nan,B2
69,Machine Learning,2,Junior
69,Python,2,Junior
69,SQL,2,Junior
70,Machine Learning,5,Master
70,Python,5,Master
70,Data Science,5,Master
70,PySpark,4,Advanced
70,Azure,3,Regular
70,Databricks,3,Regular
71,English,Nan,C1
71,Python,4,Advanced
71,PyTorch,4,Advanced
71,TensorFlow,4,Advanced
71,Hugging Face transformers,4,Advanced
71,Scikit,4,Advanced
71,Keras,4,Advanced
71,Machine Learning,4,Advanced
71,LLM,4,Advanced
71,Distributed systems,3,Regular
72,Machine Learning,4,Advanced
72,PyTorch,4,Advanced
72,scikit-learn,4,Advanced
72,TensorFlow,4,Advanced
72,Python,4,Advanced
73,Machine Learning,4,Advanced
73,LLM,4,Advanced
73,Cloud,4,Advanced
73,AI,4,Advanced
73,Python,4,Advanced
73,Data Science,4,Advanced
73,Computer Vision,3,Regular
74,TypeScript,5,Master
74,React,5,Master
74,AWS,4,Advanced
74,AI,4,Advanced
74,REST API,4,Advanced
74,PostgreSQL,3,Regular
75,Machine Learning,3,Regular
75,Java,3,Regular
75,C++,3,Regular
75,AI,3,Regular
75,Gradle,3,Regular
75,Python,3,Regular
76,Python,4,Advanced
76,SQL,4,Advanced
76,NoSQL,4,Advanced
76,Azure,4,Advanced
76,Apache Spark,4,Advanced
76,Docker,4,Advanced
76,Kubernetes,4,Advanced
76,GenAI,4,Advanced
76,MySQL,4,Advanced
77,Python,4,Advanced
77,Autogen,4,Advanced
77,Langgraph,4,Advanced
77,Crew.AI,4,Advanced
77,Langchain,4,Advanced
77,AWS AI Foundry,4,Advanced
77,Amazon Bedrock,4,Advanced
78,AI,4,Advanced
78,Machine Learning,4,Advanced
79,R,3,Regular
79,ChatGPT,3,Regular
79,Kofax RPA,3,Regular
79,SQL,3,Regular
79,Python,3,Regular
79,UI Path,2,Junior
79,Blue Prism,2,Junior
80,Polish,Nan,C2
80,English,Nan,C1
80,Python,5,Master
80,Machine Learning,4,Advanced
80,CI/CD,4,Advanced
80,Pandas,4,Advanced
80,PyTorch,3,Regular
80,PySpark,3,Regular
80,TensorFlow,3,Regular
80,Snowflake,1,Nice To Have
80,Agile,1,Nice To Have
81,English,Nan,B2
81,AI,5,Master
81,Machine Learning,5,Master
81,Python,4,Advanced
81,PyTorch,3,Regular
81,Linux,3,Regular
81,TensorFlow,2,Junior
81,Keras,2,Junior
81,JAX,2,Junior
81,CI/CD,2,Junior
81,CUDA,1,Nice To Have
82,English,Nan,B2
82,AI,3,Regular
82,Python,3,Regular
82,Azure,1,Nice To Have
83,Java,4,Advanced
83,Python,4,Advanced
83,PHP,4,Advanced
83,Go,4,Advanced
83,Ruby on Rails,4,Advanced
83,C#,4,Advanced
83,C,4,Advanced
83,JavaScript,3,Regular
83,Big Data,3,Regular
83,Machine Learning,3,Regular
84,English,Nan,C1
84,Polish,Nan,C2
84,AI,5,Master
85,GenAI,4,Advanced
85,AI,4,Advanced
85,LLM,4,Advanced
85,UX/UI,4,Advanced
86,English,Nan,C1
86,Python,4,Advanced
86,Machine Learning,3,Regular
86,Azure,3,Regular
86,Databricks,3,Regular
86,SQL,3,Regular
86,MLOps,1,Nice To Have
87,Python,5,Master
87,Azure,4,Advanced
87,Databricks,4,Advanced
87,MLOps,4,Advanced
87,DevOps,3,Regular
87,ML/AI,3,Regular
87,Spark,2,Junior
87,Scala,1,Nice To Have
88,English,Nan,B2
88,Polish,Nan,B2
88,AI,5,Master
88,ML,5,Master
88,rag,4,Advanced
88,LLM,4,Advanced
88,Gen AI,4,Advanced
89,AI,4,Advanced
89,Python,4,Advanced
89,Git,3,Regular
89,PyTorch,3,Regular
89,TensorFlow,3,Regular
89,Linux,3,Regular
89,Keras,3,Regular
89,C++,2,Junior
89,Docker,2,Junior
89,Kubernetes,2,Junior
90,MLOps,5,Master
90,Azure,4,Advanced
90,Databricks,4,Advanced
90,SQL,4,Advanced
90,Python,4,Advanced
91,Docker,4,Advanced
91,Azure,4,Advanced
91,Python,4,Advanced
91,GenerativeAI,4,Advanced
92,Machine Learning,5,Master
92,Data Structures,4,Advanced
92,Algorithms,4,Advanced
93,Polish,Nan,C1
93,English,Nan,B2
93,Python,4,Advanced
93,NumPy,4,Advanced
93,PyTorch,4,Advanced
93,Deep Learning,4,Advanced
93,AI,4,Advanced
93,Machine Learning,4,Advanced
93,SQL,4,Advanced
94,GenAI,4,Advanced
94,AI,4,Advanced
94,Python,4,Advanced
94,AWS,3,Regular
94,PyTorch,3,Regular
95,Polish,Nan,C1
95,English,Nan,C1
95,LLM,4,Advanced
95,AI,4,Advanced
95,Scrum,4,Advanced
95,rag,4,Advanced
95,Confluence,4,Advanced
95,Jira,4,Advanced
95,Agile,4,Advanced
96,AI,4,Advanced
96,.NET C#,4,Advanced
96,Python,4,Advanced
96,CI/CD,4,Advanced
96,Cloud,3,Regular
96,DevOps,1,Nice To Have
97,OpenAI,4,Advanced
97,Python,4,Advanced
97,Azure,4,Advanced
97,GCP,4,Advanced
97,Google Vertex AI,4,Advanced
97,Anthropic Claude,4,Advanced
97,rag,4,Advanced
98,English,Nan,B2
98,Java,4,Advanced
98,NLP,4,Advanced
98,Python,4,Advanced
99,AI,3,Regular
99,Python,3,Regular
100,Polish,Nan,C1
100,English,Nan,C1
100,AWS,4,Advanced
100,CI/CD,4,Advanced
100,AI,4,Advanced
100,Azure,4,Advanced
100,GCP,4,Advanced
101,AI,4,Advanced
101,ML,4,Advanced
102,Polish,Nan,C1
102,English,Nan,C1
102,Scrum Master,4,Advanced
103,AI,5,Master
103,Python,5,Master
103,AWS,4,Advanced
103,OpenAI API,4,Advanced
103,fastapi,4,Advanced
103,REST API,3,Regular
103,Langchain,3,Regular
103,Hugging Face,3,Regular
103,Datadog,2,Junior
103,Jenkins,2,Junior
104,English,Nan,B2
104,AI,5,Master
104,Python,4,Advanced
104,AWS,3,Regular
104,Unity,3,Regular
105,PyTorch,3,Regular
105,TensorFlow,3,Regular
105,Langchain,3,Regular
105,LLM,3,Regular
105,MLOps,3,Regular
105,CI/CD,3,Regular
105,AWS,3,Regular
105,Azure,3,Regular
106,NLP,4,Advanced
106,Python,4,Advanced
106,Git,3,Regular
106,SQL,3,Regular
107,C++,3,Regular
107,LLM,3,Regular
107,Gradle,3,Regular
107,Release Engineering,3,Regular
107,Machine Learning,3,Regular
108,English,Nan,B2
108,GenAI,5,Master
108,AI,5,Master
108,AppDev,5,Master
108,Python,5,Master
108,ML OPS,4,Advanced
108,OpenAI API,4,Advanced
108,Langchain,4,Advanced
109,Polish,Nan,B2
109,English,Nan,C1
109,GNNs,4,Advanced
109,Molecular Representation Learning,4,Advanced
109,Graph-Based Machine Learning,4,Advanced
109,deep learning frameworks,4,Advanced
109,Python,4,Advanced
109,AlphaFold,4,Advanced
109,OMICs Data Integration,1,Nice To Have
109,Knowledge Graphs in Pharma,1,Nice To Have
109,Generative AI,1,Nice To Have
110,Machine Learning,4,Advanced
110,AI,4,Advanced
111,Python,4,Advanced
111,LLM,3,Regular
111,NLP,3,Regular
111,Azure,2,Junior
111,GCP,2,Junior
111,Databricks,1,Nice To Have
112,AI,1,Nice To Have
113,Polish,Nan,C2
113,English,Nan,B2
113,Python,4,Advanced
113,TensorFlow,4,Advanced
113,Cloud,4,Advanced
113,AI,3,Regular
113,Microsoft Azure Cloud,1,Nice To Have
113,GCP,1,Nice To Have
113,Machine Learning,1,Nice To Have
114,AI,3,Regular
114,Python,3,Regular
114,SQL,3,Regular
114,Data modeling,3,Regular
114,Agile,3,Regular
114,CI/CD,3,Regular
114,DevOps,3,Regular
115,English,Nan,B2
115,Danish,Nan,B1
115,Machine Learning,3,Regular
115,AI,3,Regular
116,Polish,Nan,C2
116,Kubernetes,4,Advanced
116,Python,4,Advanced
116,GCP,4,Advanced
117,English,Nan,B2
117,GenAI,4,Advanced
117,Azure,4,Advanced
117,Python,4,Advanced
117,MLOps,4,Advanced
117,Databricks,4,Advanced
118,AWS,4,Advanced
118,DevOps,4,Advanced
118,C#,4,Advanced
118,AI/ML,4,Advanced
118,Azure,4,Advanced
118,GCP,4,Advanced
118,English,4,Advanced
118,.Net,4,Advanced
118,Python,4,Advanced
118,Kubernetes,3,Regular
119,Python,3,Regular
119,GenAI,2,Junior
119,Spark/PySpark,2,Junior
119,LLM/ML/AI,2,Junior
119,Azure,2,Junior
119,Databricks,2,Junior
120,Machine Learning,4,Advanced
120,AI,4,Advanced
120,Cloud,3,Regular
120,Power BI,3,Regular
120,Azure,3,Regular
121,Machine Learning,4,Advanced
121,LLM,4,Advanced
121,Cloud,4,Advanced
121,AI,4,Advanced
121,Python,4,Advanced
121,Data Science,4,Advanced
121,Computer Vision,3,Regular
122,Ukrainian,Nan,C2
122,English,Nan,B1
122,NLP,5,Master
122,LLM,5,Master
122,Ukrainian,5,Master
123,Polish,Nan,C1
123,English,Nan,B2
123,LLM,4,Advanced
123,AI,4,Advanced
123,Python,4,Advanced
123,Azure,4,Advanced
123,Docker,4,Advanced
123,Kubernetes,4,Advanced
123,API,3,Regular
123,Microservices,3,Regular
