offer_id,title,company,location,salary,link,type_of_work,experience,employment_type,operating_mode,scraped_at,.NET C#,.Net,3D,AI,AI application deployment,AI/ML,AI/ML services,API,API Testing,ASP.NET,AUDIO,AWS,AWS Bedrock,AWS Textract,Agile,Airflow,Algorithms,AlphaFold,Amazon AWS,Amazon SageMaker,Angular,Ansible,Apache Hadoop,Apache Spark,AppDev,Architecture,Asana,Aurelia,Azure,Azure AI foundry,Azure DevOps,Azure ML,Azure OpenAI,Azure open AI / GenAI solutions,Azure/GCP,Bash,Bazy Danych,Big Data,BigQuery,Bitbucket,Business Analysis,C,C#,C++,C/C++,CI/CD,CI/CD pipelines,CRM,CUDA,ChatGPT,Claude AI,Cloud,Cloud Adoption Framework,Cloud Formation,Cloud Foundation Toolkit,Cloud Platforms,Compiler,Compliance,Computer Vision,Computer science,Confluence,Copilot,CrewAI,DDD,Danish,Data,Data Science,Data Scientist,Data Structures,Data Warehousing,Data modeling,Databases,Databricks,Deep Learning,DevOps,Distributed systems,Django,Django Rest Framework,Docker,Dutch,EC2,ETL,Elasticsearch,English,Enterprise Architect,Express.js,Flask,French,GCP,GDPR,GNNs,Gen AI,GenAI,GenAI models,Generative AI,GenerativeAI,German,Git,GitLab,Go,Google Cloud,Google Cloud AI Platform,Gradle,Graph-Based Machine Learning,Graphics APIs: OpenGL / OpenGL ES / EGL / Vulkan,HPC,HTML5 / CSS3,Hadoop,Hive,Hugging Face,Hugging Face transformers,Italian,JAX,Java,JavaScript,JavaScript/Python,Jira,Kanban,Kedro,Keras,Knowledge Graphs in Pharma,Kubernete,Kubernetes,LLM,LLM/ML/AI,LLMs,LangFuse,Langchain,Langflow,Langgraph,Large Language Model,Large Language Models,Lean,Linux,ML,ML OPS,MLOps,MLflow,MML,MS Azure,MS SQL,Machine,Machine Learning,Memy,Microservices,Microsoft 365,Microsoft AI Builder,Microsoft Azure,Microsoft Azure Cloud,Microsoft Copilot Studios,Microsoft Dynamics 365,Microsoft Power Automate,Molecular Representation Learning,MongoDB,MySQL,NLP,Natural Language Processing,Nest.js,NoSQL,Node.js,NumPy,OMICs Data Integration,Onion Architecture,Open AI,OpenAI,OpenAI API,OpenCV,OpenSearch,PHP,Pandas,Perplexity AI,Platforms: Android /Linux /Windows / Embedded MCU,Podman,Polish,PostgreSQL,Power Automate,Power BI,Power Platform,PowerApps,Product Management,Project Management,Prompt Engineering,Promt Engineering,PySpark,PyTorch,Python,Python 3,R,RAG Patterns,RDS PostgreSQL,REST API,RESTful API,RPA,RPA/IPaaS,RabbitMQ,Ray,React,React.JS,Release Engineering,Ruby on Rails,Rust,SAS,SLURM,SQL,SaaS,Salesforce,SciPy,Scikit,Scrum,Scrum Master,Security,Snowflake,Software Architecture,Software Development,Spanish,Spark,Spark/PySpark,TDD,Team Management,TensorFlow,Terraform,TypeScript,UX/UI,Ukrainian,Vector Database,Vector Search,Vertex AI,Video and audio streaming,Virtual Chatbots,Vite,Web3,WebSocket,automation,computational analysis,data analyst,deep learning frameworks,fastapi,high-throughput screening,image,inference llm optimising,integration,mining,molecular dynamics simulations,penetration testing,privacy,pytest,rag,s3,scikit-learn,threat modeling,transformers,video
0,Senior ML Engineer (REMOTE),DevsData LLC,Warsaw,,https://justjoin.it/job-offer/devsdata-llc-senior-ml-engineer-remote--warsaw-ai,Full-time,Senior,B2B,Remote,2025-04-11 12:07:11 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Responsible AI Specialist,Cornerstone OnDemand,Kraków,,https://justjoin.it/job-offer/cornerstone-ondemand-responsible-ai-specialist-krakow-ai,Full-time,Senior,Permanent,Remote,2025-04-11 12:07:27 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Natural Language Processing Engineer with Language Skills,Samsung R&D Institute Poland,Warszawa,Missing salary,https://justjoin.it/job-offer/samsung-r-d-institute-poland-natural-language-processing-engineer-with-language-skills-warszawa-ai,Full-time,Mid,Permanent,Hybrid,2025-04-11 12:07:43 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AI Developer,Reply Polska Sp. z o. o.,Katowice,,https://justjoin.it/job-offer/reply-polska-sp-z-o-o--ai-developer-katowice-ai,Full-time,Mid,B2B,Hybrid,2025-04-11 12:07:59 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Data Scientist (GenerativeAI),Lingaro,Warszawa,,https://justjoin.it/job-offer/lingaro-data-scientist-generativeai--warszawa-ai,Full-time,Mid,B2B,Remote,2025-04-11 12:08:13 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AI/ML Engineer/Specialist,EY GDS Poland,Wrocław,Missing salary,https://justjoin.it/job-offer/ey-gds-poland-ai-ml-engineer-specialist-wroclaw-ai,Full-time,Mid,Permanent,Hybrid,2025-04-11 12:08:28 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Junior Research Engineer (Machine Translation),Allegro,Warszawa,Missing salary,https://justjoin.it/job-offer/allegro-junior-research-engineer-machine-translation--warszawa-ai,Full-time,Junior,Permanent,Hybrid,2025-04-11 12:08:43 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AI Engineer,Point Wild,Kijów,Missing salary,https://justjoin.it/job-offer/point-wild-ai-engineer-kijow-ai,Full-time,Mid,B2B,Remote,2025-04-11 12:08:56 UTC,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Data Science Manager,1dea,Warszawa,,https://justjoin.it/job-offer/1dea-data-science-manager-warszawa-ai,Full-time,Senior,B2B,Remote,2025-04-11 12:09:12 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AI Developer,emagine Polska,Warszawa,Missing salary,https://justjoin.it/job-offer/emagine-polska-ai-developer-warszawa-ai,Full-time,Mid,B2B,Remote,2025-04-11 12:09:26 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
