offer_id,skill_name,skill_level,skill_level_name
0,Amazon AWS,3,Regular
0,AWS Bedrock,3,Regular
0,OpenSearch,3,Regular
0,AWS Textract,3,Regular
0,RDS PostgreSQL,3,Regular
0,EC2,3,Regular
0,s3,3,Regular
0,Python,1,Nice To Have
1,GenAI,3,Regular
1,C++,3,Regular
1,Python,3,Regular
2,Python,5,Master
2,PostgreSQL,4,Advanced
2,Django,3,Regular
2,pytest,3,Regular
2,Django Rest Framework,3,Regular
2,Amazon AWS,2,Junior
3,AI,4,Advanced
3,Python,4,Advanced
3,LLM,3,Regular
3,CI/CD,3,Regular
4,AWS,3,Regular
4,PyTorch,3,Regular
4,scikit learn,3,Regular
4,NumPy,3,Regular
4,Docker,3,Regular
4,Kubernetes,3,Regular
4,Pandas,3,Regular
5,English,4,Advanced
5,Data Engineering,4,Advanced
5,Big Data,4,Advanced
5,AI,4,Advanced
5,Scrum,2,Junior
5,Kaban,2,Junior
6,English,Nan,B2
6,Machine Learning,2,Junior
6,Python,2,Junior
6,SQL,2,Junior
7,Git,3,Regular
7,CI/CD,3,Regular
7,Deep Learning,3,Regular
7,PyTorch,3,Regular
7,transformers,3,Regular
7,Large Language Models,3,Regular
7,Python,3,Regular
8,GenAI,4,Advanced
8,AI,4,Advanced
8,Python,4,Advanced
8,AWS,3,Regular
8,PyTorch,3,Regular
9,NLP,4,Advanced
9,Python,4,Advanced
9,Git,3,Regular
9,SQL,3,Regular
10,NLP,3,Regular
10,AI,3,Regular
10,Langchain,3,Regular
10,pydanticAI,3,Regular
11,English,Nan,B1
11,Programming,2,Junior
11,Machine Learning,2,Junior
11,English,2,Junior
12,Python,5,Master
12,Machine Learning,4,Advanced
12,SQL,3,Regular
12,Data Science,3,Regular
13,Python,5,Master
13,AI,3,Regular
13,Machine Learning,3,Regular
14,English,Nan,B2
14,AI,3,Regular
14,Python,3,Regular
14,Azure,1,Nice To Have
15,PyTorch,4,Advanced
15,AI,4,Advanced
15,TensorFlow,4,Advanced
15,OpenCV,4,Advanced
16,Polish,Nan,B2
16,English,Nan,C1
16,Product Management,4,Advanced
17,Python,4,Advanced
17,LLM,3,Regular
17,NLP,3,Regular
17,Azure,2,Junior
17,GCP,2,Junior
17,Databricks,1,Nice To Have
18,C++,3,Regular
