offer_id,skill_name,skill_level,skill_level_name
0,English,Nan,B2
0,Machine Learning,5,Master
0,NLP,5,Master
0,AI,5,Master
0,Python,5,Master
0,AWS,4,Advanced
1,English,Nan,C1
1,Machine Learning,4,Advanced
1,AWS,4,Advanced
1,TypeScript,4,Advanced
1,AI,4,Advanced
1,Azure,4,Advanced
1,Snowflake,4,Advanced
1,JavaScript,4,Advanced
1,Python,4,Advanced
1,Docker,3,Regular
1,Kubernetes,3,Regular
2,English,Nan,C1
2,Polish,Nan,C2
2,LLM,4,Advanced
2,CI/CD,4,Advanced
2,AI,4,Advanced
2,Python,4,Advanced
2,AWS,3,Regular
3,Polish,Nan,C2
3,English,Nan,C1
3,GenAI,4,Advanced
3,AWS,4,Advanced
3,LLM,4,Advanced
3,Azure OpenAI,4,Advanced
3,Data Science,4,Advanced
3,AI,3,Regular
4,Langchain,3,Regular
4,Langgraph,3,Regular
4,LangFuse,3,Regular
4,REST API,3,Regular
4,Prompt Engineering,3,Regular
4,Docker,2,Junior
4,Kubernetes,2,Junior
5,English,Nan,B2
5,Java,4,Advanced
5,NLP,4,Advanced
5,Python,4,Advanced
6,SQL,4,Advanced
6,Python,4,Advanced
6,AI,3,Regular
6,Data Science,3,Regular
6,Big Data,3,Regular
7,Python,4,Advanced
7,Machine Learning,4,Advanced
7,Databricks,4,Advanced
7,Linux,4,Advanced
7,Git,4,Advanced
7,Docker,4,Advanced
7,Podman,4,Advanced
7,Azure DevOps,4,Advanced
7,PostgreSQL,4,Advanced
7,Airflow,4,Advanced
8,GenAI,4,Advanced
8,Machine Learning,4,Advanced
8,LLM,4,Advanced
8,Data modeling,4,Advanced
8,Python,4,Advanced
8,Data Science,4,Advanced
8,AWS,3,Regular
8,PySpark,3,Regular
8,Spark,3,Regular
8,Azure,3,Regular
9,Polish,Nan,C1
9,English,Nan,C1
9,AI,4,Advanced
9,Machine Learning,4,Advanced
9,Power Apps,3,Regular
9,Automation Tools,3,Regular
9,Power Automate,3,Regular
9,Azure,3,Regular
9,Power BI,3,Regular
10,Security,3,Regular
11,Polish,Nan,C1
11,English,Nan,B2
11,Python,4,Advanced
11,NumPy,4,Advanced
11,PyTorch,4,Advanced
11,Deep Learning,4,Advanced
11,AI,4,Advanced
11,Machine Learning,4,Advanced
11,SQL,4,Advanced
12,Python,3,Regular
12,fastapi,3,Regular
12,rag,3,Regular
12,Prompt Engineering,3,Regular
12,OpenAI,3,Regular
12,Hugging Face,3,Regular
12,Vector Database,3,Regular
13,English,Nan,B2
13,SQL,4,Advanced
13,Python,4,Advanced
13,NLP,3,Regular
13,Computer Vision,3,Regular
13,PyTorch,3,Regular
13,TensorFlow,3,Regular
13,Keras,3,Regular
13,Deep Learning,3,Regular
13,MLOps,3,Regular
14,English,Nan,C1
14,TypeScript,4,Advanced
14,Rust,4,Advanced
14,Software Architecture,4,Advanced
14,Python,4,Advanced
14,AI,3,Regular
15,Python,3,Regular
15,Pandas,3,Regular
15,NumPy,3,Regular
15,SQL,3,Regular
15,NLP,1,Nice To Have
15,Java,1,Nice To Have
15,C#,1,Nice To Have
16,Machine Learning,4,Advanced
16,AI,4,Advanced
16,Cloud,3,Regular
16,Power BI,3,Regular
16,Azure,3,Regular
17,Polish,Nan,B2
17,English,Nan,C1
17,GNNs,4,Advanced
17,Molecular Representation Learning,4,Advanced
17,Graph-Based Machine Learning,4,Advanced
17,deep learning frameworks,4,Advanced
17,Python,4,Advanced
17,AlphaFold,4,Advanced
17,OMICs Data Integration,1,Nice To Have
17,Knowledge Graphs in Pharma,1,Nice To Have
17,Generative AI,1,Nice To Have
18,English,Nan,B2
18,Machine Learning,5,Master
18,AWS,4,Advanced
18,Python,4,Advanced
18,Terraform,4,Advanced
18,Cloud Formation,4,Advanced
18,Ansible,4,Advanced
18,Git,4,Advanced
19,LLM,3,Regular
19,Python,3,Regular
19,Langchain,3,Regular
19,Pandas,3,Regular
19,OpenAI GPT,3,Regular
19,Google Gemini,3,Regular
19,Cloud,3,Regular
19,Vertex AI,1,Nice To Have
19,Azure AI Studio,1,Nice To Have
19,Azure AI Search,1,Nice To Have
20,Machine Learning,4,Advanced
20,Python,3,Regular
20,Databases,3,Regular
20,Data Warehousing,3,Regular
20,Big Data,3,Regular
20,Cloud,3,Regular
20,R,1,Nice To Have
21,Machine Learning,4,Advanced
21,LLM,4,Advanced
21,AI,4,Advanced
21,PostgreSQL,3,Regular
21,MongoDB,3,Regular
21,Big Data,3,Regular
22,English,Nan,B2
22,AI,3,Regular
22,Python,3,Regular
22,Azure,1,Nice To Have
23,English,Nan,C1
23,Python,5,Master
23,Microservices,5,Master
23,AI/ML,4,Advanced
23,API,4,Advanced
23,Cloud Platforms,4,Advanced
24,AI,4,Advanced
24,Python,4,Advanced
24,LLM,3,Regular
24,CI/CD,3,Regular
25,Python,5,Master
25,Machine Learning,5,Master
25,TensorFlow,5,Master
25,PyTorch,5,Master
26,Polish,Nan,C1
26,English,Nan,C1
26,LLM,4,Advanced
26,AI,4,Advanced
26,Scrum,4,Advanced
26,rag,4,Advanced
26,Confluence,4,Advanced
26,Jira,4,Advanced
26,Agile,4,Advanced
27,English,Nan,B2
27,React,4,Advanced
27,Next.js,4,Advanced
27,TypeScript,4,Advanced
27,AI/LLMs,4,Advanced
27,Node.js,4,Advanced
28,Machine Learning,4,Advanced
28,Team Management,4,Advanced
28,Project Management,4,Advanced
28,Python,4,Advanced
28,Generative AI,4,Advanced
28,Data Science,4,Advanced
28,Big Data,4,Advanced
29,GCP,4,Advanced
29,Cloud Adoption Framework,3,Regular
29,Cloud Foundation Toolkit,3,Regular
30,Polish,Nan,C1
30,English,Nan,C1
30,Python,4,Advanced
30,React.JS,4,Advanced
30,GenAI models,4,Advanced
30,LLMs,4,Advanced
30,API,3,Regular
30,Docker,3,Regular
30,Kubernetes,3,Regular
30,CI/CD,3,Regular
30,Cloud Platforms,2,Junior
31,Polish,Nan,C1
31,English,Nan,C1
31,AWS,4,Advanced
31,CI/CD,4,Advanced
31,AI,4,Advanced
31,Azure,4,Advanced
31,GCP,4,Advanced
32,English,4,Advanced
32,AI,4,Advanced
32,Python,3,Regular
32,fastapi,3,Regular
32,Langchain,3,Regular
32,Langgraph,3,Regular
32,CrewAI,3,Regular
32,Azure,3,Regular
32,Pandas,3,Regular
32,.Net,3,Regular
33,English,Nan,C1
33,Machine Learning,5,Master
33,NLP,5,Master
