offer_id,title,company,location,salary,link,type_of_work,experience,employment_type,operating_mode,scraped_at,.NET C#,.Net,3D,AI,AI Coding Assistant tools,AI application deployment,AI/LLMs,AI/ML,AI/ML services,API,API Testing,APIs,AWS,AWS AI Foundry,AWS Bedrock,AWS Textract,Agile,Airflow,AlphaFold,Amazon AWS,Amazon Bedrock,Amazon SageMaker,Analityczne Myślenie,Angular,Ansible,Anthropic Claude,Apache Hadoop,Apache Spark,AppDev,Asana,Aurelia,Autogen,Automation Tools,Azure,Azure AI foundry,Azure Cloud,Azure DevOps,Azure Kubernetes Service,Azure ML,Azure Open AI,Azure open AI / GenAI solutions,Azure/GCP,AzureAI,AzureML,Backend,Bash,Bazy Danych,Big Data,Bitbucket,Blue Prism,Business Analysis,C,C#,C++,C/C++,CI/CD,CI/CD pipelines,CMS,CRM,CUDA,ChatGPT,Chatbots,Claude AI,Cloud,Cloud Adoption Framework,Cloud Formation,Cloud Foundation Toolkit,Cloud Platforms,Compiler,Compliance,Computer Vision,Computer science,Confluence,Copilot,Crew.AI,CrewAI,Customer Support,Cybersecurity,DBT,Danish,Data Science,Data Structures,Data Warehousing,Data modeling,Databases,Databricks,Deep Learning,DevOps,DevOps tools,Distributed systems,Django,Django Rest Framework,Docker,Dutch,E2E,EC2,ETL,ETL tools,Elasticsearch,English,Flask,French,GCP,GNNs,Gen AI,GenAI,GenAI models,Generative AI,GenerativeAI,German,Git,GitLab,Github Copilot,Go-to-market,Google Cloud AI Platform,Google Cloud Platform,Google Vertex AI,Gradle,Graph-Based Machine Learning,Graphics APIs: OpenGL / OpenGL ES / EGL / Vulkan,HPC,HTML5 / CSS3,Hadoop,Hive,HugginFace,Hugging Face,Hugging Face transformers,Italian,Java,JavaScript,Jira,Kedro,Keras,Knowledge Graphs in Pharma,Kofax RPA,Kubernetes,LLM,LLM/ML/AI,LLMs,LangFuse,Langchain,Langgraph,Large Language Model,Large Language Models,Lean,Linux,ML,ML OPS,ML/AI,MLOps,MLflow,MML,Machine Learning,Memy,Microservices,Microsoft AI Builder,Microsoft Azure,Microsoft Azure Cloud,Microsoft Copilot Studios,Microsoft Dynamics 365,Molecular Representation Learning,MongoDB,MySQL,NLP,Natural Language Processing,Next.js,NoSQL,Node.js,NumPy,OMICs Data Integration,OpenAI,OpenAI API,OpenCV,OpenSearch,PHP,Pandas,Perplexity AI,Platforms: Android /Linux /Windows / Embedded MCU,Podman,Polish,PostgreSQL,Power Apps,Power Automate,Power BI,Power Platform,PowerApps,Product Management,Programming,Prompt Engineering,Promt Engineering,PySpark,PyTorch,Python,Python 3,R,RAG Patterns,RDS PostgreSQL,REST API,RESTful API,RabbitMQ,React,React.JS,Release Engineering,Rust,SAS,SEO,SLURM,SQL,SaaS,Scala,Scikit,Scrum,Scrum Master,Snowflake,Software Architecture,Software Development,Spanish,Spark,Spark/PySpark,Team Management,TensorFlow,Terraform,TypeScript,UI Path,UX/UI,Vector Database,Video and audio streaming,Virtual Chatbots,Vite,Vue,WebSocket,automation,computational analysis,data algorithms,deep learning frameworks,fastapi,high-throughput screening,inference llm optimising,mining,molecular dynamics simulations,privacy,pydanticAI,pytest,rag,s3,scikit learn,scikit-learn,transformers,vSLAM
0,Staff Applied Scientist,Relativity,Kraków,,https://justjoin.it/job-offer/relativity-staff-applied-scientist-krakow-ai,Full-time,Senior,Permanent,Hybrid,2025-04-14 12:07:17 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Backend Developer,BigTime,Wrocław,,https://justjoin.it/job-offer/bigtime-backend-developer-wroclaw-ai,Full-time,Mid,"Permanent, B2B",Hybrid,2025-04-14 12:07:32 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,AI Developer,emagine Polska,Warszawa,Missing salary,https://justjoin.it/job-offer/emagine-polska-ai-developer-warszawa-ai,Full-time,Mid,B2B,Remote,2025-04-14 12:07:46 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Senior AI Engineer,Clurgo,Warszawa,,https://justjoin.it/job-offer/clurgo-senior-ai-engineer-warszawa-ai,Full-time,Senior,B2B,Hybrid,2025-04-14 12:08:01 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Specjalista ds. ML/AI,Centrum e-Zdrowia,Warszawa,Missing salary,https://justjoin.it/job-offer/centrum-e-zdrowia-specjalista-ds-ml-ai-warszawa-ai,Full-time,Mid,Permanent,Hybrid,2025-04-14 12:08:16 UTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Tech Lead (.NET/C# & Python) z doświadczeniem w AI,in4ge,Warszawa,Missing salary,https://justjoin.it/job-offer/in4ge-tech-lead-net-c-python-z-doswiadczeniem-w-ai-warszawa-ai,Full-time,Senior,B2B,Remote,2025-04-14 12:08:34 UTC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Frontend Developer (React),Sopra Steria,Katowice,,https://justjoin.it/job-offer/sopra-steria-senior-frontend-developer-react--katowice-ai,Full-time,Mid,Permanent,Remote,2025-04-14 12:08:49 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Machine Learning Engineer,hubQuest,Warszawa,,https://justjoin.it/job-offer/hubquest-machine-learning-engineer-warszawa-ai,Full-time,Mid,B2B,Remote,2025-04-14 12:09:05 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Senior ML/AI Engineer,Lingaro,Warszawa,,https://justjoin.it/job-offer/lingaro-senior-ml-ai-engineer-warszawa-ai,Full-time,Senior,B2B,Remote,2025-04-14 12:09:20 UTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Mid-level AI Engineer,Devopsbay,Wrocław,,https://justjoin.it/job-offer/devopsbay-mid-level-ai-engineer-wroclaw-ai,Full-time,Mid,B2B,Hybrid,2025-04-14 12:09:35 UTC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
